county,state,population,lat,lon,lat_gmap,lon_gmap
Abbeville County,sc,16713,34.301500000000004,-82.42675,34.1891221,-82.4752757
Acadia Parish,la,44719,30.24955555555556,-92.39300000000001,30.2297347,-92.38136209999999
Accomack County,va,33115,37.78425000000001,-75.64975,37.7063323,-75.8069082
Ada County,id,417501,43.60796610169492,-116.27384745762714,43.478767,-116.2420304
Adair County,ia,4561,41.28,-94.4855,41.2741733,-94.479976
Adair County,ky,15219,37.09779999999999,-85.2636,37.076403,-85.31362179999999
Adair County,mo,23169,40.200833333333335,-92.59183333333334,40.1993655,-92.539603
Adair County,ok,17149,35.93125,-94.67150000000001,35.9127307,-94.645035
Adams County,co,463954,39.87203260869567,-104.92826086956528,39.8398269,-104.1930918
Adams County,ia,2187,40.969,-94.804,41.0652066,-94.6863782
Adams County,id,3880,44.93450000000001,-116.41650000000001,44.9882561,-116.4916092
Adams County,il,67081,39.94972222222222,-91.34266666666666,40.0577692,-91.13530200000001
Adams County,in,34642,40.75814285714286,-84.938,40.7249237,-84.8984775
Adams County,ms,31979,31.540333333333333,-91.3798888888889,31.5305353,-91.28910359999999
Adams County,nd,2341,46.114,-102.497,46.0594591,-102.5179098
Adams County,ne,28971,40.581625,-98.425375,40.5596231,-98.5721016
Adams County,oh,24682,38.855000000000004,-83.47560000000001,38.8907822,-83.5070203
Adams County,pa,85056,39.85078947368421,-77.1605789473684,39.8522417,-77.2864879
Adams County,wa,19081,46.9148,-118.88040000000001,46.9272238,-118.51098
Adams County,wi,17788,43.93816666666667,-89.79166666666667,44.0196955,-89.77553379999999
Addison County,vt,36943,44.0605,-73.15299999999999,44.1197293,-73.164338
Aiken County,sc,137386,33.52550000000001,-81.77711538461539,33.6005783,-81.6035062
Aitkin County,mn,13974,46.5912,-93.52000000000001,46.61854330000001,-93.45366920000001
Alachua County,fl,237600,29.66161538461537,-82.37694230769233,29.6579549,-82.3017728
Alamance County,nc,130684,36.07203333333334,-79.41373333333331,36.0117388,-79.4253776
Alameda County,ca,1560494,37.71834670487109,-122.11791117478516,37.6016892,-121.7195459
Alamosa County,co,16269,37.491749999999996,-105.85275,37.654039,-105.876004
Albany County,ny,292679,42.677685714285744,-73.81938571428572,42.57567969999999,-73.93598209999999
Albany County,wy,34978,41.337,-105.60155555555554,41.638448,-105.5943388
Albemarle County,va,86168,38.04041176470588,-78.52223529411765,38.0567092,-78.6114999
Alcona County,mi,10550,44.67999999999999,-83.4822,44.6727944,-83.60223979999999
Alcorn County,ms,37319,34.906285714285715,-88.53542857142858,34.8984684,-88.59517509999999
Alexander County,il,7364,37.10825,-89.27550000000001,37.1670164,-89.3606298
Alexander County,nc,33260,35.887499999999996,-81.18716666666667,35.8974199,-81.20781640000001
Alexandria city,va,120841,38.8179642857143,-77.08825,38.8048355,-77.0469214
Alfalfa County,ok,5755,36.71033333333333,-98.36033333333334,36.7435919,-98.3964938
Alger County,mi,9476,46.42333333333334,-86.61166666666666,46.927418,-86.5087741
Allamakee County,ia,8951,43.272333333333336,-91.395,43.2430754,-91.44346900000001
Allegan County,mi,100602,42.599380952380955,-85.89785714285715,42.5709865,-86.3376761
Allegany County,md,69537,39.63681818181819,-78.8090909090909,39.6255251,-78.6114999
Allegany County,ny,48050,42.23075,-78.02591666666666,42.3129816,-78.0195387
Alleghany County,nc,10911,36.486333333333334,-81.11166666666668,36.4940839,-81.1196075
Alleghany County,va,13392,37.7976,-79.9624,37.8531975,-80.0534923
Allegheny County,pa,1040604,40.44304320987654,-79.96233950617284,40.4450813,-80.0087746
Allen County,in,356458,41.08875268817205,-85.12041935483869,41.0932622,-85.02334599999999
Allen County,ks,10420,37.913,-95.36574999999999,37.9435853,-95.3102505
Allen County,ky,15475,36.74325,-86.24425000000001,36.7650471,-86.21584969999999
Allen County,oh,84135,40.75533333333334,-84.11300000000001,40.769946,-84.14351359999999
Allen Parish,la,12721,30.769333333333336,-92.67666666666666,30.5887484,-92.8577105
Allendale County,sc,9838,32.983333333333334,-81.31933333333333,33.0059695,-81.38393260000001
Alpena County,mi,29068,45.05122222222222,-83.46955555555556,45.0168239,-83.1116742
Alpine County,ca,1131,38.63,-119.808,38.5940736,-119.8815203
Amador County,ca,36995,38.41066666666667,-120.7191111111111,38.3488921,-120.7740931
Amelia County,va,12777,37.3335,-77.9665,37.3212714,-77.973865
Amherst County,va,29082,37.496624999999995,-79.1145,37.5588285,-79.1096901
Amite County,ms,12840,31.19333333333333,-90.81400000000001,31.1683803,-90.8294002
Anderson County,ks,4793,38.309,-95.199,38.2809328,-95.3102505
Anderson County,ky,13530,38.0005,-84.973,37.998648,-84.981754
Anderson County,sc,163318,34.54609090909091,-82.62209090909091,34.5528328,-82.6483442
Anderson County,tn,66142,36.0818,-84.19839999999999,36.0809574,-84.2278796
Anderson County,tx,45947,31.78055555555556,-95.6378888888889,31.776932,-95.6457951
Andrew County,mo,17328,39.9525,-94.81949999999999,39.9637436,-94.81059549999999
Andrews County,tx,16775,32.288,-102.5695,32.342627,-102.7135121
Androscoggin County,me,82085,44.135904761904754,-70.21338095238096,44.19124160000001,-70.17070369999999
Angelina County,tx,83296,31.306125000000005,-94.69999999999999,31.2704698,-94.645035
Anne Arundel County,md,392708,39.07509722222221,-76.59129166666668,38.9530109,-76.5488232
Anoka County,mn,226305,45.19943859649124,-93.2767543859649,45.3292832,-93.2197005
Anson County,nc,24446,34.9762,-80.08860000000001,34.9054732,-80.1875065
Antelope County,ne,6486,42.151,-98.05366666666667,42.1902446,-98.04651849999999
Antrim County,mi,23267,44.986,-85.19885714285714,44.9730441,-85.1769095
Apache County,az,66613,35.41014285714285,-109.40271428571428,35.5313224,-109.3783206
Appanoose County,ia,7714,40.76,-92.903,40.6806102,-92.8577105
Appling County,ga,18417,31.755399999999998,-82.3068,31.712238,-82.25832969999999
Appomattox County,va,15208,37.376666666666665,-78.831,37.402489,-78.792953
Aransas County,tx,24292,28.0192,-97.0514,28.0761262,-96.9638624
Arapahoe County,co,586547,39.64622302158275,-104.8526187050359,39.62031,-104.332644
Archer County,tx,8779,33.648666666666664,-98.61399999999999,33.5761511,-98.7481167
Archuleta County,co,12174,37.201,-107.07724999999999,37.1604318,-107.0067031
Arenac County,mi,15424,44.0412,-83.83800000000001,43.9973355,-83.67739279999999
Arkansas County,ar,18731,34.369,-91.421375,34.2354138,-91.28910359999999
Arlington County,va,190684,38.873577777777776,-77.10182222222222,38.8816208,-77.09098089999999
Armstrong County,pa,62069,40.76829411764706,-79.5224117647059,40.8790518,-79.4703885
Armstrong County,tx,1943,34.965,-101.358,34.937162,-101.4339148
Aroostook County,me,49497,46.75611764705883,-68.17541176470588,46.819941,-68.4766064
Arthur County,ne,448,41.569,-101.696,41.5680276,-101.6157773
Ascension Parish,la,95096,30.249454545454544,-90.92963636363636,30.2017295,-90.9438468
Ashe County,nc,27114,36.43,-81.51016666666666,36.4339674,-81.47183869999999
Ashland County,oh,47924,40.83399999999999,-82.29050000000001,40.9435588,-82.3017728
Ashland County,wi,15993,46.48028571428572,-90.76228571428571,46.9794969,-90.48248919999999
Ashley County,ar,21229,33.182,-91.87657142857144,33.1565939,-91.7538817
Ashtabula County,oh,81674,41.81742857142857,-80.76890476190476,41.9396982,-80.7214417
Asotin County,wa,22040,46.3645,-117.11066666666666,46.1460123,-117.2085208
Assumption Parish,la,16235,29.8835,-91.06349999999999,29.9232544,-91.09693999999999
Atascosa County,tx,29209,28.95866666666667,-98.54916666666668,28.8661281,-98.5721016
Atchison County,ks,10851,39.54533333333333,-95.18266666666666,39.5701137,-95.35208759999999
Atchison County,mo,5440,40.423,-95.45949999999999,40.42389600000001,-95.4777811
Athens County,oh,46237,39.35945454545455,-82.08281818181817,39.30303079999999,-82.12783999999999
Atkinson County,ga,8294,31.289666666666665,-82.87466666666666,31.2932161,-82.8640623
Atlantic County,nj,203528,39.41726530612245,-74.56167346938776,39.5333379,-74.6868815
Atoka County,ok,13906,34.37425,-96.05925,34.4509901,-95.9832577
Attala County,ms,19175,33.071666666666665,-89.59249999999999,33.1683267,-89.62516459999999
Audrain County,mo,25783,39.19942857142858,-91.83628571428571,39.22195300000001,-91.9099238
Audubon County,ia,3930,41.637,-94.90299999999999,41.7326826,-94.976654
