county,state,population_x,lat,lon,lat_gmap,lon_gmap,total_panel_area,number_of_solar_system_per_person,average_household_income,per_capita_income,median_household_income,housing_unit_median_value,daily_solar_radiation,electricity_price_residential,electricity_price_commercial,electricity_price_industrial,incentive_count_residential,incentive_count_nonresidential,population_y,education_high_school_graduate_rate,voting_2016_dem_percentage
Abbeville County,sc,16713,34.301500000000004,-82.42675,34.1891221,-82.4752757,55.20703267,0.0001795009872554299,49709.2008650757,19624.75,37707.25,101050.0,4.31,12.57,10.21,6.05,16,25,4178.25,0.35948902025,0.3461395
Acadia Parish,la,44719,30.24955555555556,-92.393,30.2297347,-92.3813621,2312.78417469,0.0010286455421632864,54859.088846383645,20804.666666666668,40660.88888888889,90300.0,4.36,9.33,8.659999999999998,5.41,16,17,4968.777777777777,0.40266208533333325,0.205871613
Accomack County,va,33115,37.78425000000001,-75.64975,37.7063323,-75.80690820000001,271.34453677,0.00024158236448739242,54158.288331533746,23293.375,39467.0,151862.5,4.37,11.370000000000001,8.21,6.950000000000001,19,16,4139.375,0.40805530712500004,0.42761028199999995
Ada County,id,417501,43.60796610169492,-116.27384745762714,43.478767,-116.2420304,19231.515912,0.0012934100756644895,76074.03449621226,29962.338983050846,59137.40677966102,199111.86440677967,4.449999999999996,9.929999999999998,7.800000000000008,6.600000000000005,14,19,7076.28813559322,0.2111215160338983,0.3869173309999996
Adair County,ia,4561,41.28,-94.4855,41.274173299999994,-94.47997600000001,568.0998582999998,0.0010962508221881166,58670.62438598554,27300.0,47743.0,92750.0,3.94,11.63,8.92,5.9,18,26,2280.5,0.46284919599999996,0.29981378
Adair County,ky,15219,37.09779999999999,-85.2636,37.076403000000006,-85.31362179999998,44.17766725,6.570733950982325e-05,46392.789307322426,18527.6,31676.6,85900.0,3.9799999999999995,10.24,9.44,5.48,13,25,3043.8,0.35867702,0.160792416
Adair County,mo,23169,40.200833333333335,-92.59183333333334,40.199365500000006,-92.539603,1837.4552818,0.0011221891320298675,50589.75073439639,20755.833333333332,36419.5,104250.0,3.9900000000000007,11.21,9.159999999999998,6.44,18,28,3861.5,0.35115681283333333,0.34477656100000004
Adair County,ok,17149,35.93125,-94.6715,35.912730700000004,-94.645035,783.7689550299998,0.00034987462825820747,44213.27896771183,16872.0,32702.0,77375.0,4.295,10.14,7.68,5.35,8,19,4287.25,0.41740660175,0.212430427
Adams County,co,463954,39.872032608695676,-104.92826086956528,39.8398269,-104.19309179999999,126126.45406526,0.006354078206029046,71146.89079316621,24689.652173913044,60174.34782608696,187327.1739130435,4.567826086956527,12.119999999999994,9.879999999999997,7.399999999999987,43,50,5042.978260869565,0.29180969522826083,0.49376730899999943
Adams County,ia,2187,40.968999999999994,-94.804,41.065206599999996,-94.68637820000001,0.0,0.0,53782.74112000001,24304.0,42674.0,80500.0,4.05,11.63,8.92,5.9,18,26,2187.0,0.394033561,0.271373679
Adams County,id,3880,44.93450000000001,-116.4165,44.9882561,-116.4916092,28.16441854,0.0002577319587628866,51707.23484820103,21243.5,37684.5,165800.0,4.17,9.93,7.8,6.6,14,19,1940.0,0.3594055905,0.19010536
Adams County,il,67081,39.94972222222222,-91.34266666666666,40.0577692,-91.135302,2169.7568283240003,0.0004919425768846619,58574.222586779564,23207.833333333332,44731.055555555555,104561.11111111111,4.032222222222223,12.5,9.02,6.670000000000001,18,28,3726.722222222222,0.36802049911111107,0.24025810500000006
Adams County,in,34642,40.75814285714286,-84.93799999999999,40.724923700000005,-84.8984775,702.9217336700001,0.00023093354887131228,60807.03620714682,21960.285714285714,49661.57142857143,124500.0,3.77,11.570000000000002,9.78,6.86,13,22,4948.857142857143,0.44115347242857145,0.21489377999999998
Adams County,ms,31979,31.54033333333333,-91.37988888888891,31.5305353,-91.2891036,79.6180541,6.254104255917946e-05,44821.12830091936,18292.11111111111,28612.444444444445,101222.22222222222,4.420000000000001,11.269999999999998,10.549999999999999,6.5600000000000005,10,18,3553.222222222222,0.33306542333333333,0.566644834
Adams County,nd,2341,46.114,-102.49700000000001,46.0594591,-102.5179098,267.9014056,0.00042716787697565144,74079.28772000001,34005.0,52118.0,126100.0,3.9,9.62,8.83,8.07,10,17,2341.0,0.35052143700000005,0.179104478
Adams County,ne,28971,40.581625,-98.425375,40.5596231,-98.5721016,1933.47608923,0.0006903455179317248,70951.38945195507,28121.375,51593.5,107037.5,4.22,10.6,8.67,7.590000000000002,14,21,3621.375,0.32314390800000004,0.248405709
Adams County,oh,24682,38.855,-83.47560000000001,38.890782200000004,-83.5070203,3873.23643736,0.00032412284255732923,46673.628067703175,18310.0,36102.0,90260.0,3.84,12.8,10.07,7.019999999999999,17,29,4936.4,0.4460335664,0.207267468
Adams County,pa,85056,39.85078947368421,-77.1605789473684,39.8522417,-77.28648790000001,3395.18417275,0.0003644657637321294,73299.31913238713,27943.052631578947,61600.0,196452.63157894736,3.801578947368422,13.639999999999995,9.599999999999998,7.2,17,31,4476.631578947368,0.42042938142105263,0.29863379900000003
Adams County,wa,19081,46.9148,-118.8804,46.92722379999999,-118.51098,473.52862170000003,0.0007861223206330905,55767.52349030869,19240.0,46340.6,128460.0,4.078,9.09,8.22,4.35,23,30,3816.2,0.26644334880000003,0.27395246300000003
Adams County,wi,17788,43.93816666666667,-89.79166666666669,44.019695500000005,-89.77553379999998,112.0881747,0.00028108837418484373,55026.62639221779,22932.333333333332,43199.333333333336,127233.33333333333,3.7399999999999998,14.11,10.89,7.579999999999999,20,28,2964.6666666666665,0.43151920666666665,0.373998219
Addison County,vt,36943,44.0605,-73.15299999999998,44.119729299999996,-73.164338,4373.82774669,0.0021925669274287414,73387.20615838373,29468.8,58720.1,243300.0,3.5120000000000005,17.09,14.539999999999996,10.269999999999998,21,28,3694.3,0.3213883337000001,0.637619372
Aiken County,sc,137386,33.52550000000001,-81.7771153846154,33.6005783,-81.6035062,2883.4672834310004,0.0003566593393795583,65167.18644511471,26383.76923076923,49634.5,133034.61538461538,4.4099999999999975,12.569999999999995,10.210000000000006,6.050000000000001,16,25,5284.076923076923,0.30305705803846156,0.3400425289999998
Aitkin County,mn,13974,46.5912,-93.52,46.618543300000006,-93.4536692,40.27388956,0.0001431229426077,54562.26527419708,25706.4,43228.4,161660.0,3.6399999999999997,12.12,9.44,7.019999999999999,34,39,2794.8,0.3938581942,0.34120849200000003
