,0,1,2
Unnamed: 0,0,2,3
tile_count,0,3,0
solar_system_count,0,3,0
total_panel_area,0.0,64.50577595,0.0
fips,27145011200,27145011302,27145011304
average_household_income,70352.78987000001,71496.88657999999,86840.15275
county,Stearns County,Stearns County,Stearns County
education_bachelor,569,854,640
education_college,1690,1459,1116
education_doctoral,13,31,68
education_high_school_graduate,1757,1541,1095
education_less_than_high_school,336,289,231
education_master,157,276,270
education_population,4548,4480,3456
education_professional_school,26,30,36
employed,3569,3550,3483
gini_index,0.349,0.3926,0.3949
heating_fuel_coal_coke,200,69,188
heating_fuel_electricity,448,440,442
heating_fuel_fuel_oil_kerosene,98,45,61
heating_fuel_gas,1720,2098,1113
heating_fuel_housing_unit_count,2527,2698,1833
heating_fuel_none,10,29,13
heating_fuel_other,51,17,16
heating_fuel_solar,0,0,0
land_area,147.7312,37.44482,75.21146999999998
per_capita_income,26999.0,28021.0,29275.0
population,6577,6971,6328
population_density,44.52005,186.1673,84.1361
poverty_family_below_poverty_level,85,134,87
poverty_family_count,1911,1961,1499
race_asian,28,0,171
race_black_africa,19,0,69
race_indian_alaska,16,2,26
race_islander,0,0,0
race_other,6,18,305
race_two_more,88,12,64
race_white,6420,6939,5693
state,mn,mn,mn
total_area,154.3719,39.3305,81.04071
unemployed,136,151,186
water_area,6.6407690000000015,1.885683,5.829235
education_less_than_high_school_rate,0.073878628,0.064508929,0.066840278
education_high_school_graduate_rate,0.386323659,0.343973214,0.31684027800000003
education_college_rate,0.371591909,0.325669643,0.322916667
education_bachelor_rate,0.125109938,0.190625,0.185185185
education_master_rate,0.034520668,0.061607143,0.078125
education_professional_school_rate,0.005716799,0.006696429,0.010416667
education_doctoral_rate,0.002858399,0.0069196430000000005,0.019675926
race_white_rate,0.976128934,0.995409554,0.8996523390000001
race_black_africa_rate,0.002888855,0.0,0.010903919
race_indian_alaska_rate,0.00243272,0.000286903,0.004108723
race_asian_rate,0.00425726,0.0,0.027022756
race_islander_rate,0.0,0.0,0.0
race_other_rate,0.00091227,0.002582126,0.048198483
race_two_more_rate,0.01337996,0.001721417,0.01011378
employ_rate,0.963292848,0.959200216,0.949304988
poverty_family_below_poverty_level_rate,0.04447933,0.068332483,0.058038692
heating_fuel_gas_rate,0.680648991,0.777613047,0.607201309
heating_fuel_electricity_rate,0.177285319,0.163083766,0.241134752
heating_fuel_fuel_oil_kerosene_rate,0.038781163,0.016679021000000002,0.033278777999999995
heating_fuel_coal_coke_rate,0.079145231,0.0255745,0.102564103
heating_fuel_solar_rate,0.0,0.0,0.0
heating_fuel_other_rate,0.020182034,0.006300964,0.00872886
heating_fuel_none_rate,0.0039572620000000005,0.010748703,0.007092199
solar_panel_area_divided_by_area,0.0,1.640095497,0.0
solar_panel_area_per_capita,0.0,0.009253447,0.0
